Run number;Date;Duration;Scan name;Scan description;Pulses;Transmission;Steps;Num hits;Hit fraction;Num streaks;Command
213;2025-07-20 22:48:13;0:00:23;Ferritin loaded with CeO2;Ferritin loaded with CeO2;2289;1.0;50;2554;1.1157710790738313;115535;scans.snakescan(cbd.sample_y,.035,50,cbd.sample_x,28,description="Ferritin loaded with CeO2", return_at_end=False)
214;2025-07-20 23:09:04;0:00:23;Ferritin loaded with CeO2;Ferritin loaded with CeO2;2292;1.0;235;None;None;None;scans.snakescan(cbd.sample_y,.035,235,cbd.sample_x,28,description="Ferritin loaded with CeO2", return_at_end=False)
215;2025-07-21 01:19:18;None;Ferritin empty fresh;Ferritin empty fresh;None;1.0;235;None;None;None;scans.snakescan(cbd.sample_y,.035,235,cbd.sample_x,30,description="Ferritin empty fresh", return_at_end=False)
216;2025-07-21 01:19:46;None;Ferritin empty fresh;Ferritin empty fresh;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin empty fresh", return_at_end=False)
217;2025-07-21 01:21:12;None;Ferritin empty fresh;Ferritin empty fresh;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin empty fresh", return_at_end=False)
218;2025-07-21 01:23:57;None;Ferritin empty fresh;Ferritin empty fresh;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,30,description="Ferritin empty fresh", return_at_end=False)
219;2025-07-21 01:25:26;0:00:23;Ferritin empty fresh;Ferritin empty fresh;2290;1.0;280;None;None;None;scans.snakescan(cbd.sample_y,.035,280,cbd.sample_x,28,description="Ferritin empty fresh", return_at_end=False)
220;2025-07-21 01:31:23;0:00:23;Ferritin empty fresh;Ferritin empty fresh;2292;1.0;250;None;None;None;scans.snakescan(cbd.sample_y,.035,250,cbd.sample_x,28,description="Ferritin empty fresh", return_at_end=False)
221;2025-07-21 03:29:00;0:00:24;ProtK #22;ProtK #22;2394;1.0;280;None;None;None;scans.snakescan(cbd.sample_y,.035,280,cbd.sample_x,29,description="ProtK #22", return_at_end=False)
222;2025-07-21 04:49:26;0:00:40;Cu Phthalocyanine last;Cu Phthalocyanine last;3700;0.09890887141227722;280;None;None;None;scans.snakescan(cbd.sample_y,.035,280,cbd.sample_x,29,description="Cu Phthalocyanine last", return_at_end=False)
223;2025-07-21 04:51:07;0:08:19;Cu Phthalocyanine last;Cu Phthalocyanine last;47646;0.09890887141227722;280;None;None;None;scans.snakescan(cbd.sample_y,.035,280,cbd.sample_x,29,description="Cu Phthalocyanine last", return_at_end=False)
224;2025-07-21 05:00:40;0:00:25;Cu Phthalocyanine last;Cu Phthalocyanine last;2453;0.5136491060256958;220;None;None;None;scans.snakescan(cbd.sample_y,.035,220,cbd.sample_x,29,description="Cu Phthalocyanine last", return_at_end=False)
225;2025-07-21 05:18:35;0:42:40;Cu Phthalocyanine last;Cu Phthalocyanine last;244199;0.5136491060256958;200;10058;0.041187719851432644;742804;scans.snakescan(cbd.sample_y,.035,200,cbd.sample_x,29,description="Cu Phthalocyanine last", return_at_end=False)
226;2025-07-21 06:21:17;None;Vit B12 recryst 1;Vit B12 recryst 1;None;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,28,description="Vit B12 recryst 1", return_at_end=False)
227;2025-07-21 06:22:35;0:57:57;Vit B12 recryst 1;Vit B12 recryst 1;331101;1.0;285;28035;0.08467204871021229;1200476;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,28,description="Vit B12 recryst 1", return_at_end=False)
228;2025-07-21 07:36:01;0:57:59;Vit B12 recryst 2;Vit B12 recryst 2;331244;1.0;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,28,description="Vit B12 recryst 2", return_at_end=False)
229;2025-07-21 08:44:12;0:17:17;B3C last;B3C last;98708;0.09890887141227722;285;None;None;None;scans.snakescan(cbd.sample_y,.035,285,cbd.sample_x,28,description="B3C last", return_at_end=False)
